iter,n1_wins,solver_wins,draws
1,0,10,0
2,0,10,0
3,0,10,0
4,0,10,0
5,0,10,0
6,0,10,0
7,0,10,0
9,0,10,0
10,0,10,0
11,0,10,0
12,0,10,0
14,0,10,0
15,0,10,0
16,0,10,0
17,0,10,0
19,0,10,0
22,1,9,0
24,0,8,2
25,1,7,2
26,1,6,3
27,1,4,5
29,0,9,1
30,0,8,2
32,1,8,1
33,1,8,1
34,1,9,0
35,1,6,3
37,0,6,4
38,0,10,0
41,1,7,2
42,0,7,3
43,1,6,3
46,2,6,2
47,0,8,2
48,0,8,2
49,2,6,2
51,1,8,1
52,0,9,1
53,4,2,4
54,2,6,2
56,2,7,1
57,3,4,3
60,1,6,3
61,3,5,2
62,3,4,3
64,2,5,3
65,5,3,2
66,2,6,2
67,2,3,5
70,3,4,3
71,2,5,3
72,3,5,2
73,4,5,1
74,3,3,4
75,0,8,2
78,7,2,1
81,4,4,2
82,3,2,5
83,3,3,4
84,6,2,2
85,4,1,5
87,5,2,3
88,5,2,3
92,1,3,6
93,3,4,3
95,3,5,2
96,3,7,0
97,4,2,4
98,3,5,2
99,3,5,2
100,5,4,1
103,4,4,2
104,5,4,1
105,4,3,3
107,0,5,5
108,3,4,3
111,2,6,2
115,2,4,4
116,2,5,3
117,4,1,5
118,3,5,2
119,5,4,1
120,3,3,4
122,3,5,2
125,1,5,4
126,5,3,2
129,0,5,5
131,2,4,4
132,1,5,4
133,4,3,3
134,1,6,3
135,3,6,1
137,2,6,2
138,2,3,5
140,2,4,4
142,2,6,2
144,3,6,1
146,5,3,2
147,2,5,3
149,4,3,3
150,3,3,4
151,7,1,2
153,5,4,1
154,4,5,1
157,4,5,1
160,3,5,2
163,6,2,2
165,8,2,0
166,6,2,2
167,4,5,1
168,4,5,1
169,6,4,0
170,9,0,1
172,5,3,2
174,5,3,2
176,7,3,0
177,6,2,2
180,5,1,4
183,5,3,2
185,4,4,2
187,6,2,2
188,5,3,2
190,6,3,1
193,6,4,0
194,3,5,2
196,8,0,2
197,6,2,2
198,7,3,0
199,4,6,0
204,6,4,0
205,3,5,2
207,8,1,1
208,7,2,1
211,7,2,1
213,4,3,3
214,8,0,2
215,4,6,0
218,3,2,5
219,6,4,0
220,7,3,0
221,6,1,3
222,7,2,1
229,8,1,1
230,7,0,3
233,8,0,2
236,7,1,2
240,8,1,1
242,3,1,6
243,8,1,1
245,5,3,2
246,7,1,2
247,7,3,0
248,8,1,1
249,7,2,1
