iter,n1_wins,solver_wins,draws
1,0,10,0
2,0,10,0
3,0,10,0
4,0,10,0
5,0,10,0
6,0,10,0
8,0,10,0
9,1,8,1
10,0,10,0
11,0,9,1
14,1,9,0
16,0,10,0
18,0,10,0
19,0,10,0
20,0,10,0
21,0,10,0
22,1,9,0
23,1,9,0
24,0,10,0
26,0,10,0
27,0,10,0
29,0,10,0
30,0,10,0
31,0,10,0
32,0,10,0
35,0,10,0
36,0,10,0
37,0,10,0
39,0,10,0
41,0,10,0
42,0,10,0
44,0,10,0
45,0,9,1
46,1,6,3
48,3,6,1
49,1,5,4
50,1,8,1
51,3,3,4
52,2,5,3
53,0,5,5
54,2,4,4
55,1,5,4
57,4,5,1
62,3,2,5
63,2,5,3
64,5,1,4
65,1,4,5
66,3,4,3
67,2,7,1
68,2,4,4
70,4,4,2
71,3,5,2
75,3,4,3
76,4,3,3
78,3,2,5
79,4,3,3
80,2,4,4
83,4,2,4
84,1,5,4
88,4,2,4
89,4,4,2
90,2,5,3
91,3,3,4
92,2,6,2
93,3,4,3
94,3,4,3
95,2,5,3
96,4,5,1
97,4,3,3
98,2,6,2
100,3,5,2
101,1,6,3
102,5,4,1
103,1,5,4
105,2,5,3
107,2,5,3
108,3,6,1
109,4,5,1
